filename,cik,company,filing_date,period_of_report,year,has_item_7,item_7_length,json_path
31978_10K_2016_0000031978-17-000010.json,31978,EL PASO ELECTRIC CO /TX/,2017-02-24,2016-12-31,2016,True,72722,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/31978_10K_2016_0000031978-17-000010.json
3197_10K_2016_0001564590-17-004264.json,3197,CECO ENVIRONMENTAL CORP,2017-03-14,2016-12-31,2016,True,73900,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3197_10K_2016_0001564590-17-004264.json
33185_10K_2016_0000033185-17-000008.json,33185,EQUIFAX INC,2017-02-22,2016-12-31,2016,True,67867,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/33185_10K_2016_0000033185-17-000008.json
33213_10K_2016_0000033213-17-000003.json,33213,EQT Corp,2017-02-09,2016-12-31,2016,True,87338,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/33213_10K_2016_0000033213-17-000003.json
33488_10K_2016_0001144204-17-011505.json,33488,ESCALADE INC,2017-02-28,2016-12-31,2016,True,21640,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/33488_10K_2016_0001144204-17-011505.json
33992_10K_2016_0001654954-17-002100.json,33992,"KINGSTONE COMPANIES, INC.",2017-03-16,2016-12-31,2016,True,86131,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/33992_10K_2016_0001654954-17-002100.json
34067_10K_2016_0000034067-17-000007.json,34067,DMC Global Inc.,2017-03-09,2016-12-31,2016,True,56058,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/34067_10K_2016_0000034067-17-000007.json
34088_10K_2016_0000034088-17-000017.json,34088,EXXON MOBIL CORP,2017-02-22,2016-12-31,2016,True,264,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/34088_10K_2016_0000034088-17-000017.json
3453_10K_2016_0001558370-17-000947.json,3453,"Matson, Inc.",2017-02-24,2016-12-31,2016,True,46289,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3453_10K_2016_0001558370-17-000947.json
34782_10K_2016_0000034782-17-000036.json,34782,1ST SOURCE CORP,2017-02-17,2016-12-31,2016,True,66582,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/34782_10K_2016_0000034782-17-000036.json
34903_10K_2016_0000034903-17-000008.json,34903,FEDERAL REALTY INVESTMENT TRUST,2017-02-13,2016-12-31,2016,True,68154,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/34903_10K_2016_0000034903-17-000008.json
34956_10K_2016_0001654954-17-002098.json,34956,"TENAX THERAPEUTICS, INC.",2017-03-16,2016-12-31,2016,True,54968,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/34956_10K_2016_0001654954-17-002098.json
3499_10K_2016_0000003499-17-000004.json,3499,ALEXANDERS INC,2017-02-13,2016-12-31,2016,True,32162,/content/drive/MyDrive/EDGAR_Project/edgar-crawler/datasets/EXTRACTED_FILINGS/10-K/3499_10K_2016_0000003499-17-000004.json
